# instance_id;center_x,center_y,center_z;R00,R01,R02,R10,R11,R12,R20,R21,R22;extent_x,extent_y,extent_z
0001;2.35112,4.11121,1.07603;-0.813266,-0.581893,0,0.581893,-0.813266,0,0,0,1;0.925293,0.685598,1.86794;
0004;2.42193,4.45824,1.99;0.984678,-0.17003,0,-0.168444,-0.984854,0,0,0,1;0.718161,0.331272,0.52;
0005;1.71536,4.43807,1.91;0.962878,0.269937,0,-0.269937,0.962878,0,0,0,1;0.678006,0.154435,0.6;
0008;-nan,-nan,-nan;0,0,0,-0.235104,-0.97197,0,0,0,1;-nan,-nan,-nan;
0010;1.00998,4.21842,1.82;-0.999647,-0.0265561,0,0.0265561,-0.999647,0,0,0,1;1.07216,1.02814,0.78;
0013;1.29069,4.417,1.08;-0.236596,-0.970211,0,-0.971513,0.235483,0,0,0,1;1.07563,1.6599,0.02;
0014;1.1572,4.18297,0.606185;-0.970085,-0.24276,0,0.242521,-0.969409,0,0,0,1;0.506371,0.401015,0.703457;
0015;0.729212,4.05021,0.96;-0.920919,-0.387976,0,0.389753,-0.916721,0,0,0,1;1.05656,2.05638,0.54;
0017;0.618701,3.72659,0.59;-0.216801,-0.958705,0,-0.976106,0.210058,0,0,0,1;1.44661,0.591353,0.76;
0018;0.501088,3.77995,0.95;0.323157,-0.945855,0,0.943375,0.319426,0,0,0,1;0.584487,0.508368,0.2;
0021;0.625116,3.77694,0.942567;-0.893394,-0.448089,0,0.449274,-0.891037,0,0,0,1;0.8914,1.51165,0.294866;
0023;0.554881,3.96407,1.81;-0.539981,-0.837643,0,-0.84026,0.54216,0,0,0,1;1.72464,0.517203,0.8;
0025;0.531518,3.85888,0.90977;-0.26112,0.965103,0,-0.965084,-0.260564,0,0,0,1;1.63088,0.649179,0.440461;
0026;0.484914,3.75571,0.919168;0.224719,0.971708,0,0.973783,-0.221242,0,0,0,1;0.540967,0.545018,0.221664;
0027;0.682013,3.2315,0.55;-0.186428,0.982469,0,-0.982469,-0.186428,0,0,0,1;0.506118,0.169423,0.72;
0030;1.14155,2.644,0.266368;0.960145,0.279502,0,-0.279502,0.960145,0,0,0,1;0.529448,0.303628,0.327264;
0033;2.56251,2.73735,0.1;-0.908783,0.416908,0,0.416971,0.90892,0,0,0,1;4.32222,2.47277,0.02;
0036;3.94896,2.3745,0.5;-0.320698,0.947182,0,-0.947182,-0.320698,0,0,0,1;0.953808,1.03485,0.86;
0037;4.1587,2.86735,0.509505;-0.504571,-0.863351,0,-0.86337,0.50456,0,0,0,1;0.686824,0.473706,0.800989;
0038;4.26481,0.800947,0.24;0.307106,0.945208,0,0.951675,-0.305019,0,0,0,1;0.65993,0.679154,0.42;
0040;4.09226,1.54161,0.496135;0.598141,-0.791918,0,-0.797521,-0.603263,0,0,0,1;1.38211,0.416342,0.827729;
0042;4.11123,2.31159,0.513207;-0.447145,0.893445,0,-0.89429,-0.445617,0,0,0,1;1.07388,1.41235,0.846413;
0043;5.42517,1.92356,0.67;0.269203,0.963083,0,0.963083,-0.269203,0,0,0,1;0.895402,1.30917,0.44;
0044;4.75939,1.13612,0.51;0.941854,0.306914,0,-0.321685,0.941213,0,0,0,1;1.97963,0.990523,0.76;
0045;4.98518,2.91847,0.48;-0.994519,0.104131,0,0.102881,0.990684,0,0,0,1;2.41321,0.557344,0.82;
