# Load Integration Export

10.1 42.5 10.7 
15.9 43.7 16.1 
11.9 0.0 12.0 
10.7 0.0 10.8 
8.2 43.9 8.9 
12.5 50.0 13.5 
13.4 61.4 14.0 
12.3 69.6 12.9 
13.1 87.0 13.9 
12.7 82.7 13.5 
12.7 84.2 13.8 
12.7 93.3 13.9 
12.3 91.0 13.4 
12.9 99.0 14.2 
12.7 93.5 13.9 
13.1 97.0 14.4 
12.8 0.0 14.1 
9.8 0.0 10.5 
10.7 0.0 11.5 
9.1 0.0 10.0 
9.0 0.0 9.8 
10.7 0.0 11.8 
8.8 0.0 9.7 
9.1 0.0 9.8 
11.3 0.0 12.6 
9.2 105.1 10.8 
13.2 0.0 15.0 
10.0 104.3 11.6 
12.8 0.0 14.6 
10.6 0.0 11.8 
9.8 0.0 11.4 
8.8 0.0 9.8 
8.0 0.0 9.0 
10.6 0.0 12.3 
8.7 0.0 9.7 
8.3 129.3 10.3 
13.4 118.3 15.2 
13.2 112.4 15.0 
13.0 104.6 14.8 
12.7 135.8 14.4 
12.6 109.9 14.3 
12.6 129.5 14.4 
13.0 129.5 14.8 
12.4 152.4 14.1 
11.8 126.7 13.8 
12.5 130.8 14.6 
12.3 148.5 14.4 
12.1 0.0 14.3 
10.9 146.3 13.0 
13.3 156.1 15.5 
13.0 155.9 15.3 
13.6 163.3 15.6 
11.4 184.2 13.7 
11.9 198.5 14.8 
13.4 217.2 16.3 
13.4 253.4 16.6 
14.7 231.6 20.3 
13.8 211.0 18.3 
13.7 236.9 18.1 
14.0 241.0 18.7 
14.0 215.8 19.0 
14.4 223.1 19.0 
16.6 234.1 21.6 
14.0 240.6 18.9 
13.9 249.0 19.0 
13.3 242.7 18.7 
12.4 250.7 19.2 
14.1 238.9 20.9 
13.6 228.1 20.0 
13.9 226.3 20.4 
13.0 241.7 20.7 
13.0 243.4 20.2 
13.0 230.6 20.1 
12.5 243.8 21.3 
14.3 272.7 23.7 
12.7 259.6 20.5 
13.3 262.8 20.7 
14.5 263.2 21.6 
16.0 239.8 28.1 
15.0 265.7 23.7 
11.9 295.0 23.2 
12.8 305.7 21.7 
12.4 292.0 22.6 
11.8 330.0 21.3 
11.7 317.1 19.9 
13.8 372.5 25.2 
13.0 310.2 22.7 
15.2 374.1 31.4 
10.8 461.6 23.2 
15.6 519.3 27.3 
14.9 429.6 30.8 
15.9 376.9 28.8 
13.1 366.3 30.6 
14.8 362.8 26.9 
16.1 345.6 26.8 
13.5 336.1 25.7 
12.8 381.6 25.6 
22.0 455.8 38.4 
15.4 366.4 25.3 
11.7 324.5 22.2 
12.1 328.8 22.3 
12.5 374.2 39.8 
20.6 508.2 30.6 
14.4 321.7 23.6 
13.1 306.5 26.3 
13.7 310.6 22.4 
12.0 279.0 23.3 
12.0 276.1 21.8 
10.9 259.8 22.1 
11.3 246.6 20.2 
11.1 275.3 21.8 
13.9 250.5 23.4 
11.0 220.6 24.2 
10.4 210.6 20.9 
10.8 220.8 20.4 
11.5 212.0 22.2 
10.4 212.5 19.4 
10.4 222.8 19.7 
12.8 385.7 34.2 
14.9 352.9 28.8 
15.8 288.9 24.5 
15.0 221.0 23.7 
11.0 244.2 19.4 
15.1 244.7 41.5 
18.1 315.3 29.4 
13.4 249.1 24.5 
12.9 255.2 22.4 
12.3 260.2 21.8 
12.8 355.0 39.2 
18.8 306.3 41.6 
17.1 377.3 35.3 
16.8 362.8 38.4 
16.5 352.7 39.7 
14.1 418.5 39.2 
13.9 278.5 47.6 
12.8 290.8 33.4 
12.6 390.5 42.4 
11.6 344.7 37.5 
13.0 352.2 42.0 
15.8 322.5 41.2 
12.6 409.4 42.4 
12.1 338.5 39.3 
12.3 344.8 46.2 
11.3 331.0 42.1 
15.7 444.0 52.0 
14.0 380.4 58.1 
13.9 390.6 50.8 
12.1 364.9 47.8 
11.6 585.2 60.2 
13.0 470.7 58.4 
15.5 400.9 52.2 
11.3 367.8 53.8 
13.0 487.8 56.8 
13.0 374.1 48.7 
12.2 386.8 50.5 
14.8 392.5 61.2 
15.5 483.4 56.9 
13.8 371.1 53.0 
11.6 394.5 51.6 
13.5 372.4 51.0 
11.4 505.4 54.0 
12.2 386.0 47.0 
13.0 399.4 61.6 
19.4 386.5 54.1 
10.2 498.1 49.2 
14.0 385.6 45.1 
14.8 392.8 45.1 
14.7 386.8 54.5 
12.3 462.8 46.7 
15.4 354.4 47.5 
14.4 342.7 51.9 
13.6 362.3 45.2 
17.1 425.2 53.2 
14.5 351.6 51.3 
13.8 373.1 49.5 
12.0 382.3 54.5 
11.0 437.2 53.2 
15.6 378.8 54.0 
16.1 402.5 55.1 
16.1 457.8 60.3 
17.7 472.7 56.2 
14.0 382.2 56.4 
14.0 378.4 56.6 
16.2 429.0 52.0 
21.6 431.7 72.7 
13.1 404.7 62.7 
12.6 373.7 51.2 
13.1 426.5 61.4 
15.4 486.2 58.9 
13.4 342.2 62.8 
13.3 364.7 49.2 
13.4 347.1 72.3 
10.1 0.0 52.7 
16.2 321.7 58.1 
11.2 316.3 55.6 
15.8 372.4 70.2 
14.5 344.0 60.9 
11.7 358.7 70.4 
12.0 359.3 61.4 
10.7 370.0 55.9 
11.5 346.0 57.7 
10.2 363.1 59.1 
12.4 332.8 54.9 
11.8 0.0 53.6 
9.5 352.5 50.1 
9.9 0.0 54.9 
12.9 0.0 51.2 
# Sum: 13.1 261.9 31.7 
# Count: 207 207 207 
